treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,exposure,coral_dead,coral_live,encrusting_brown_algae,filamentous_algae,turf_algae,CCA,worm,detritus,bare_tile
uncleaned,3,kenti,3,31,j,0,0,0,0,12,0,10,0,18,60
uncleaned,3,millepora,1,26,n,0,2,0,0,30,0,8,0,14,46
uncleaned,3,millepora,2,36,f,0,8,0,0,28,0,28,0,16,20
uncleaned,3,millepora,3,19,a,0,4,0,0,44,0,8,0,12,32
uncleaned,3,millepora,4,18,f,0,4,0,0,46,0,6,0,14,30
uncleaned,4,goniastrea,1,3,h,0,0,0,0,36,0,2,0,16,46
uncleaned,4,kenti,1,33,e,0,0,0,0,12,0,8,0,16,64
uncleaned,4,kenti,2,1,i,0,0,2,0,6,0,16,0,6,70
uncleaned,4,kenti,3,9,c,0,0,2,2,6,0,14,0,8,68
uncleaned,4,millepora,1,36,b,0,0,0,0,4,0,24,0,16,56
uncleaned,4,millepora,2,19,e,0,0,14,0,12,0,12,0,16,46
uncleaned,4,millepora,3,43,f,0,0,0,0,20,0,8,0,16,56
uncleaned,4,millepora,4,45,n,0,0,4,0,28,0,4,0,18,46
zscopas,1,goniastrea,1,5,m,0,0,0,0,8,0,6,0,12,74
zscopas,1,kenti,1,9,b,0,0,4,0,24,0,6,0,8,58
zscopas,1,kenti,2,16,h,0,0,2,0,14,0,22,0,8,54
zscopas,1,kenti,3,16,l,0,0,2,0,28,0,4,0,8,58
zscopas,1,millepora,1,19,i,0,0,0,0,4,0,20,2,12,62
zscopas,1,millepora,2,48,g,0,0,0,0,18,0,12,0,6,64
zscopas,1,millepora,3,24,p,0,0,2,0,36,2,20,0,10,30
zscopas,1,millepora,4,17,j,0,0,4,0,0,0,4,0,28,64
zscopas,2,goniastrea,1,13,a,0,0,0,0,18,0,6,0,16,60
zscopas,2,kenti,1,31,j,0,0,0,0,4,0,6,0,10,80
zscopas,2,kenti,2,16,e,0,0,4,0,14,0,18,0,8,56
zscopas,2,kenti,3,33,e,0,0,0,0,14,0,20,0,2,64
zscopas,2,millepora,1,50,e,0,0,2,0,8,0,20,0,8,62
zscopas,2,millepora,2,50,f,0,0,0,0,36,0,8,0,18,38
zscopas,2,millepora,3,17,z,0,0,6,0,26,0,12,0,8,48
zscopas,2,millepora,4,48,e,0,0,4,0,8,0,16,0,22,50
zscopas,3,goniastrea,1,6,f,0,0,0,0,0,0,12,0,4,84
zscopas,3,kenti,1,4,d,0,0,0,0,8,0,4,0,10,78
zscopas,3,kenti,2,1,f,0,0,0,0,4,0,30,0,2,64
zscopas,3,kenti,3,4,f,0,0,0,0,2,0,12,2,12,72
zscopas,3,millepora,1,26,g,0,2,4,0,12,0,2,0,38,42
zscopas,3,millepora,2,24,h,0,0,2,0,24,0,4,0,32,38
zscopas,3,millepora,3,48,c,0,0,2,0,2,0,8,2,18,68
zscopas,3,millepora,4,17,h,0,0,0,0,20,0,10,0,14,56
zscopas,4,goniastrea,1,6,b,0,0,0,0,4,0,14,0,6,76
zscopas,4,kenti,1,33,d,0,0,4,0,16,0,0,0,24,56
zscopas,4,kenti,2,16,a,0,0,0,0,14,0,16,0,6,64
zscopas,4,kenti,3,16,q,0,0,0,0,16,0,16,0,12,56
zscopas,4,millepora,1,50,a,0,0,4,0,22,0,20,0,12,42
zscopas,4,millepora,2,18,l,0,0,4,0,24,0,12,0,26,34
zscopas,4,millepora,3,19,d,0,0,2,0,20,0,12,0,22,44
zscopas,4,millepora,4,19,j,0,0,0,0,18,0,14,0,32,36
anigrofuscus,1,goniastrea,1,13,b,1,0,0,0,12,0,8,0,4,76
anigrofuscus,1,kenti,1,1,m,1,0,2,0,6,0,6,0,6,80
anigrofuscus,1,kenti,2,1,c,1,0,0,0,14,0,18,0,0,68
anigrofuscus,1,kenti,3,4,e,1,0,2,0,20,0,10,0,2,66
anigrofuscus,1,millepora,1,45,k,1,0,0,0,26,16,2,0,10,46
anigrofuscus,1,millepora,2,19,b,1,0,6,0,20,0,8,4,0,62
anigrofuscus,1,millepora,3,43,p,1,0,2,2,18,0,0,0,0,78
anigrofuscus,1,millepora,4,36,a,1,0,0,0,12,0,22,0,2,64
anigrofuscus,2,goniastrea,1,14,d,1,0,0,0,28,2,8,0,0,62
anigrofuscus,2,kenti,1,1,o,1,0,0,0,46,0,12,0,0,42
anigrofuscus,2,kenti,2,4,d,1,0,4,0,14,0,6,0,0,76
anigrofuscus,2,kenti,3,4,i,1,2,2,0,14,2,4,0,20,56
anigrofuscus,2,millepora,1,26,k,1,0,6,0,52,2,4,0,2,34
anigrofuscus,2,millepora,2,19,n,1,0,0,0,26,4,8,0,6,56
anigrofuscus,2,millepora,3,19,f,1,0,4,0,20,0,12,2,10,52
anigrofuscus,2,millepora,4,17,f,1,2,4,0,26,4,6,0,12,46
anigrofuscus,3,goniastrea,1,3,f,1,0,2,0,42,20,0,0,6,30
anigrofuscus,3,kenti,1,9,o,1,0,0,4,36,2,6,0,0,52
anigrofuscus,3,kenti,2,1,h,1,0,2,0,22,0,12,0,6,58
anigrofuscus,3,kenti,3,33,f,1,0,0,0,32,0,4,0,0,64
anigrofuscus,3,millepora,1,19,c,1,0,0,0,42,0,26,0,0,32
anigrofuscus,3,millepora,2,45,m,1,0,2,0,58,2,12,0,0,26
anigrofuscus,3,millepora,3,36,m,1,0,8,0,28,2,10,0,4,48
anigrofuscus,3,millepora,4,43,k,1,2,2,0,46,0,0,0,2,48
anigrofuscus,4,goniastrea,1,3,b,1,0,0,0,10,0,2,0,18,70
anigrofuscus,4,kenti,1,1,d,1,0,0,0,6,0,8,0,0,86
anigrofuscus,4,kenti,2,4,k,1,0,2,0,12,0,2,0,0,84
anigrofuscus,4,kenti,3,4,j,1,2,0,0,12,0,4,0,2,80
anigrofuscus,4,millepora,1,18,p,1,0,0,0,12,0,4,0,4,80
anigrofuscus,4,millepora,2,48,b,1,0,2,0,40,2,4,0,0,52
anigrofuscus,4,millepora,3,43,n,1,0,4,0,14,4,4,0,16,58
anigrofuscus,4,millepora,4,19,p,1,0,0,0,28,0,6,2,0,64
cbinotatus,1,goniastrea,1,6,g,1,0,0,0,8,0,8,0,0,84
cbinotatus,1,kenti,1,9,f,1,0,0,0,0,0,0,0,0,100
cbinotatus,1,kenti,2,9,h,1,0,0,0,10,0,4,0,0,86
